post_content,trend,Likes,Shares,Comments
average annual pay executives million,Highly Trending,215,158,488
richest mizoram candidate owns states st sports car soccer club,Highly Trending,261,197,438
st state endorse triple talaq draft,Moderately Trending,373,194,499
israel probed war crimes gaza killings,Highly Trending,184,185,467
dhoni crashes stumps taking morgans catch ti,Moderately Trending,297,182,427
shape face closure pnb chief lossmaking branches,Highly Trending,179,199,490
tharoor retweets fake photo canada pm taj mahal,Low Trending,331,85,383
apple admits iphone x touch issue offers screen replacement,Moderately Trending,257,175,462
world knocks champ djokovic french open,Moderately Trending,339,164,428
marriage wont secret priyanka denies wearing mangalsutra,Moderately Trending,360,157,448
f champ leaves phone podium rival posts selfies,Moderately Trending,397,189,495
teacher held stripping student measurement,Highly Trending,301,138,471
rahul trust pakistani courts wont trust sc bjp,Low Trending,291,94,468
british woman cop sacked racist slur indian eatery,Low Trending,316,115,429
