post_content,trend,Likes,Shares,Comments
vistara start hiring male cabin crew,Moderately Trending,565,18,129
men delhi police mistake sell minor arrested,Highly Trending,959,190,302
save pm modi rafale probe rahul gandhi,Highly Trending,805,174,345
poore mulk nafrat aur zulm ka bekhauf naach jari hai naseeruddin,Low Trending,441,131,155
defender scores goal chipping goalie metres,Moderately Trending,553,86,144
amazon unveils selfdriving toy car developers,Low Trending,190,161,73
flights mumbai delayed strike ai staff,Moderately Trending,406,63,7
temple parliament india prez mukherjee,Highly Trending,784,116,489
crashed indonesia jet damaged speed gauge flights,Moderately Trending,723,85,42
ruskin bonds ghost stories turned web series,Low Trending,304,133,147
brazil liberated socialism says new president inauguration,Highly Trending,713,179,324
smart radar startup metawave raises million,Moderately Trending,529,62,462
women years hajj male companion,Low Trending,187,189,451
cr guj cms face hardik sex cd,Low Trending,435,99,352
longest place world letters,Low Trending,9,112,7
real madrid lose ronaldo returns suspension,Moderately Trending,776,26,342
israeli student killed australia video sister,Highly Trending,927,77,278
theft reliance jios customer data police,Low Trending,324,181,180
rahul pant st duo catches test,Moderately Trending,821,48,52
people disliked baahubali need psychiatric help rgv,Moderately Trending,699,123,59
rare unseen pictures late actress sridevi,Highly Trending,684,110,339
masjids madrasas teaching real islam jk bjp leader,Low Trending,265,173,471
pictures observes world refugee day,Moderately Trending,850,71,78
asks nations traveler data face sanctions,Moderately Trending,971,15,404
nadal reason better player roger federer,Highly Trending,917,185,317
sun pharma profit falls cr december quarter,Highly Trending,807,58,283
stopped using pic scarlett fake porn clip,Low Trending,229,46,263
northern ireland footballer filmed masturbating road friend,Highly Trending,928,156,74
girl dies returning beti bachao beti padhao event,Moderately Trending,987,2,35
rohit smashes rd odi matches st overall,Moderately Trending,385,16,320
darjeeling tea estates lose crop worth cr strike,Moderately Trending,900,14,130
jet airways seeks stay loans ease cash crunch reports,Moderately Trending,797,17,430
renaultnissanmitsubishi launch billion vc fund,Low Trending,13,12,386
manika batra indian woman win cwg tt singles gold,Moderately Trending,471,9,498
bbm message read evidence delhi hc asks centre,Highly Trending,855,191,403
suicide bomber kills nigeria mosque attack,Moderately Trending,692,10,436
happens interpol issues red corner notice,Low Trending,487,199,104
costliest chinese film pulled theatres flops,Low Trending,1,180,202
unlike live work piyush goyal rahul,Moderately Trending,743,51,405
gay football fans attacked gets brain injuries russia,Low Trending,461,149,121
auction house sothebys india md goes leave metoo claims,Low Trending,55,151,123
bumrahs foot noball cancels paks fakhars dismissal,Highly Trending,735,177,387
yahoo reveals billion users accounts hacked,Moderately Trending,879,75,302
took guidance sikhs kashyap abhisheks smoking scene row,Highly Trending,688,186,269
barcelonas social media hacked post signing di maria,Highly Trending,708,80,428
amazon overtakes alphabet worlds nd valuable firm,Moderately Trending,787,85,80
muslim women protest triple talaq pune,Highly Trending,921,191,312
kohli smashes th straight odi ton india equals abds record,Highly Trending,610,148,474
abandoned pak boats seized sir creek janfeb govt,Low Trending,126,95,4
youths gangrape yearold girl make video incident,Moderately Trending,771,0,253
seal illegal resorts nilgiris elephant corridor sc tn,Highly Trending,962,19,426
fake patanjali website robs trader lakh,Highly Trending,446,145,453
time imran hit sixes power bdesh pm,Low Trending,239,158,107
yearold killed pakistan cleric fleeing madrasa,Moderately Trending,562,43,20
salman khan performs delhi dabangg tour,Low Trending,94,125,401
stranger things actress millie deactivates twitter account,Moderately Trending,830,182,51
psychopath mom hp hotelier shot officer,Highly Trending,534,175,403
proud new form low humour iphone autocorrect inventor,Highly Trending,804,147,273
moons crust formed magma ocean study,Low Trending,687,153,313
kanha tiger reserve gets mascot bhoorsingh barasingha,Low Trending,155,76,25
indian origin boy sings balam pichkari uk tv,Low Trending,188,177,352
water supply ghaziabad noida disrupted temporarily,Moderately Trending,720,54,315
bird group interested buy air indias ground handling arm,Highly Trending,497,167,202
indias wcwinning coach help pick bangladesh coach,Highly Trending,918,166,249
staterun bank chiefs stop defaulters fleeing india,Low Trending,249,113,8
aspirants allowed wear shoes hair pins neet exam,Highly Trending,924,146,172
krishna land theme park lines disneyland walkalator agra fort taj mahal projects proposed recent lucknow meeting cm yogi adityanath reportedly shown krishna land asking proposal soon proposals included hop hop bus service agra,Highly Trending,839,139,376
amole gupte calls kids reality shows cruel inhuman,Low Trending,296,67,286
salman spend night jail bail order reserved,Moderately Trending,741,143,58
vijay mallya granted bail hours arrest,Moderately Trending,999,10,491
rahul discusses fake news climate change french prez,Low Trending,248,40,444
use pressure cooker se leke bandook sidharth role,Low Trending,517,164,473
airtel signs bn loan amid threat ratings cut reports,Low Trending,335,170,30
mark zuckerberg im walking says sheryl sandberg,Moderately Trending,892,67,179
bjp conspiracy failed siddaramaiah yeddyurappa resigns,Moderately Trending,792,105,66
twitter reacts talwars acquittal aarushi murder case,Moderately Trending,529,91,317
apple adds google assistantlike features siri,Moderately Trending,861,88,215
said devotion sabarimala actor rip women apart remark,Low Trending,257,6,468
tricolour sacrosanct govt mehbooba mufti flag remark,Moderately Trending,936,4,31
woman fined lakh fake molestation case threat,Low Trending,333,161,273
govt launches cleanliness survey swachh bharat mission,Moderately Trending,424,10,369
ec dismisses claim postal ballots ktaka hotel,Moderately Trending,571,36,179
tharoor shares fake letter university rejecting einstein,Highly Trending,818,75,473
yrs ago kid yrold shakti tanushree row,Moderately Trending,554,77,60
bdesh players sing dance bengali song dressing room,Moderately Trending,564,51,245
society teaches boys mard ko dard nhi hota bhumi,Low Trending,384,126,145
