post_content,trend,Likes,Shares,Comments
vistara start hiring male cabin crew,Low Trending,565,18,129
stopped using pic scarlett fake porn clip,Highly Trending,229,46,263
rohit smashes rd odi matches st overall,Low Trending,385,16,320
renaultnissanmitsubishi launch billion vc fund,Highly Trending,13,12,386
kanha tiger reserve gets mascot bhoorsingh barasingha,Moderately Trending,155,76,25
rahul discusses fake news climate change french prez,Highly Trending,248,40,444
govt launches cleanliness survey swachh bharat mission,Low Trending,424,10,369
ec dismisses claim postal ballots ktaka hotel,Low Trending,571,36,179
dhoni dreaming wc giving captaincy manager,Highly Trending,125,26,363
twitter admits misuse users check health tweets,Moderately Trending,45,7,41
war india option pakistan pm shahid abbasi,Moderately Trending,21,2,103
pahlaj nihalani fired indias censor board chairman,Low Trending,530,44,421
petrochina lost billion market value years,Highly Trending,104,8,486
rare complete fossil reptile dinosaur era,Low Trending,467,26,34
viswanathan anand wins tal memorial rapid chess title,Highly Trending,108,59,448
man shoved lemon pie qantas ceo fined nearly lakh,Highly Trending,163,65,463
candidates seeking election indian presidential elections deposit sum filing nomination papers candidates allowed make payments digitally cheque according reports presidential elections scheduled held july counting votes july,Highly Trending,144,24,499
fox studios denies reports crore deal dutt film,Highly Trending,143,60,443
bought gold earned medals akshay kumar,Moderately Trending,275,52,119
defence ministry seeks voluntary fund staff martyrs,Highly Trending,244,6,408
delta jets clip planes truck hours airport,Moderately Trending,157,56,258
brazilian mps dismiss bribery charges prez temer,Moderately Trending,405,28,26
video beijing crowd pushes train free man stuck,Low Trending,619,6,106
club fans raise money opposition sides pitch repair,Highly Trending,89,68,393
centre apprised supreme court grant permission private fm community radio service operators broadcast news content threaten national security antinational radical elements country abroad misuse propagating agenda centre stated,Low Trending,448,46,342
car runs workers sleeping flyover falls feet,Low Trending,267,41,56
indianorigin doctor arrested genital mutilation,Moderately Trending,265,49,23
dhoni nets brace helps kohliled beat bachchans team,Low Trending,560,14,220
whatsapp let group admins impose restrictions members,Low Trending,488,15,238
west bengal state swachh survekshan,Moderately Trending,139,2,178
rohit dhawan share run stand vs pak break yearold record,Low Trending,430,24,36
uk visas expensive noneu nationals,Low Trending,415,37,272
kejriwals dharna stunt rally antibjp parties bjp,Low Trending,360,7,169
records broken day long ipl,Highly Trending,38,45,346
reliance jio begins hiring ai team akash ambani,Low Trending,289,4,174
actresses redundant having kids konkona,Low Trending,516,28,348
india ranks countries healthcare report,Highly Trending,64,16,344
martial law ends ukraine amid tensions russia,Low Trending,629,11,32
rape rape dont politicise pm modi london,Moderately Trending,63,42,77
dog invades pitch football match delays game minutes,Moderately Trending,152,54,60
ranbir kapoor katrina kaif attend award ceremony uae,Moderately Trending,198,42,182
ramdevs patanjali sees turnover crore year,Low Trending,456,15,202
takes special srk king romance kajol,Moderately Trending,109,18,278
porn star bitten shark underwater photoshoot,Highly Trending,200,70,393
tmc leader threatens break legs opposition leaders,Low Trending,456,39,111
scientists make squarest ice crystals,Moderately Trending,108,33,232
players sign ipl auction,Highly Trending,210,40,421
anxious srk stayed awake hrs kkrs doordie match,Moderately Trending,129,43,159
yearold twin girls raped stepfather months,Moderately Trending,52,56,7
bjp didnt demand withdrawal rajivs bharat ratna cong,Low Trending,570,31,202
tennis player invites lookalike olympic champ meetup,Highly Trending,307,36,322
candy crush game gets television,Highly Trending,155,14,378
perfectly fine sc makes aadhaar nonmandatory nilekani,Highly Trending,248,40,342
scared woman got signature absolutely right lata,Low Trending,346,42,127
weakening parliament holding india says rahul bajaj,Moderately Trending,57,42,249
honeypreet used sim cards days run,Highly Trending,256,71,426
ganguly mocks waugh suggesting aus team test instagram,Highly Trending,170,48,386
russian commissions storeyhigh world cup mural wife,Moderately Trending,48,39,158
rbi seeks fresh applicants new cfo post,Highly Trending,231,53,467
sc denies permission singh brothers sell fortis shares,Moderately Trending,137,13,99
chinese woman held putting bag dirty scanner,Moderately Trending,125,66,9
man gives gift wife box yrs valentines,Low Trending,309,20,129
indian womens ti captain nd indian english t league,Low Trending,538,29,7
trump deserves nobel peace prize s korea president,Low Trending,394,51,75
facebook shuts digital assistant m,Moderately Trending,209,62,69
political eating russian president putin,Low Trending,287,16,279
ram rahims lawyers supporters booked fraud extortion,Highly Trending,10,72,272
fan proposes girlfriend anderson takes th wicket,Moderately Trending,217,5,228
bigg boss zubair lying hes dawoods kin gangsters family,Low Trending,365,36,12
yrold dies taking polio drops report,Low Trending,375,43,39
referees head left bloodied object thrown stands,Moderately Trending,162,8,87
worlds richest families lost money,Highly Trending,154,0,426
association missing jnu student police,Highly Trending,148,73,432
shiv sena mp anandrao adsul compared ravindra gaikwad thrashing air india employee inflight incident involving tv host kapil sharma kapil sharma misbehaved flight getting drunk ban imposed adsul said notably airlines decided ban gaikwad flying hit air india staffer slippers,Highly Trending,44,9,416
india train driven disaster arrogant driver rahul,Highly Trending,193,47,338
air india flight delayed hours rat seen board,Highly Trending,96,76,423
crore aadhaar authentications sec minister,Highly Trending,374,55,282
asaram naked asked oral sex rape victim fir,Low Trending,420,41,56
depression olympics time champion,Moderately Trending,44,1,5
need electricians plumbers life kerala union min,Low Trending,412,24,77
priyanka nick perform sangeet ceremony reports,Highly Trending,363,53,480
apple removes apps let users dodge censorship china,Low Trending,400,11,213
keeper scores goals fails seal championship,Low Trending,325,21,170
rohingyas make kashmirlike problems ramdev,Low Trending,393,42,258
du puts chetan bhagat books fb post writing course hold,Highly Trending,153,71,241
amitabh bachchan taapsee starrer pink tamil remake,Low Trending,523,15,236
google assistant offer realtime language translation,Highly Trending,149,28,141
uber agrees pay million settle discrimination suit,Highly Trending,228,45,440
dirt track racer rides fence avoid crash apologises,Moderately Trending,86,62,43
fighter jets intercept russian bombers american coast,Highly Trending,391,52,264
france declares emergency amid yellow vest protests,Highly Trending,278,40,232
exoplanet times heavier jupiter milky way,Low Trending,306,32,178
man goes bank spiderman costume working day brazil,Low Trending,535,5,139
prefer pm modi yogi spbsp expelled sp leader,Low Trending,272,34,280
counting seconds pilot landed chopper kerala rooftop,Highly Trending,107,58,437
google chrome tests fingerprint login android devices,Moderately Trending,167,47,260
oneplus t records mn customer amazon launch,Highly Trending,23,60,396
antisterlite protests led deaths tn,Highly Trending,237,37,324
paris jackson apologises tweet amid texas shooting,Low Trending,391,34,187
look outsider bollywood swara,Highly Trending,11,32,395
app reminds users times day die,Moderately Trending,161,35,99
pak boy kills sister teased poor handwriting,Moderately Trending,62,23,205
shiv sena leader shot dead bikeborne assailants maha,Highly Trending,150,44,282
facebooks internet projects fall connectivity,Moderately Trending,130,2,66
civil war going syria,Highly Trending,62,30,414
pm modi isnt vajpayee dmk ally bjp stalin,Low Trending,314,19,158
google alphago computer beats world champion china,Highly Trending,146,63,403
defunct startup stayzilla faces insolvency nclt,Moderately Trending,107,37,90
havent faced casting couch bollywood kriti sanon,Low Trending,431,11,256
hurriyat leaders booked receiving money pak let,Low Trending,261,17,266
iit kharagpur introduce vastu shastra courses report,Highly Trending,122,48,461
akshay praises fans rap video toilet ek prem katha,Moderately Trending,134,46,19
