post_content,trend,Likes,Shares,Comments
average annual pay executives million,Highly Trending,215,158,488
richest mizoram candidate owns states st sports car soccer club,Highly Trending,261,197,438
st state endorse triple talaq draft,Highly Trending,373,194,499
israel probed war crimes gaza killings,Highly Trending,184,185,467
dhoni crashes stumps taking morgans catch ti,Highly Trending,297,182,427
shape face closure pnb chief lossmaking branches,Highly Trending,179,199,490
chhattisgarh village gets electricity years,Moderately Trending,382,60,445
tharoor retweets fake photo canada pm taj mahal,Highly Trending,331,85,383
apple admits iphone x touch issue offers screen replacement,Highly Trending,257,175,462
world knocks champ djokovic french open,Highly Trending,339,164,428
zayn invited guest biebers india concert report,Moderately Trending,360,99,412
people india kind genuine open canadian pm,Moderately Trending,509,120,433
britains sugar tax soft drinks comes effect,Moderately Trending,484,148,476
yearold asian conglomerate briefly loses billion value,Moderately Trending,421,40,466
marriage wont secret priyanka denies wearing mangalsutra,Highly Trending,360,157,448
federer begins pursuit th wimbledon win mins,Moderately Trending,445,142,470
k mumbai mosquito breeding grounds destroyed months,Moderately Trending,384,169,357
f champ leaves phone podium rival posts selfies,Highly Trending,397,189,495
teacher held stripping student measurement,Highly Trending,301,138,471
behaviour unworthy permanent unsc status russia,Moderately Trending,353,78,483
rahul trust pakistani courts wont trust sc bjp,Highly Trending,291,94,468
robot dogs buddhist funeral japan,Moderately Trending,388,86,419
british woman cop sacked racist slur indian eatery,Highly Trending,316,115,429
indianorigin couple special needs child refused airline,Moderately Trending,414,159,453
movie tickets price karnataka capped today,Low Trending,456,14,337
harry potter author jk rowling apologised series tweets falsely accused president donald trump refusing shake hand child wheelchair event week rowling slammed removing tweets social media account comments proved incorrect,Moderately Trending,386,65,493
